卦序,卦名,象辞,卦辞,彖辞
31,咸卦 （下艮上兑，泽山咸）,山上有泽，咸；君子以虚受人。,咸。亨，利贞。取女吉。,咸，感也。柔上而刚下，二气感应以相与，止而说，男下女，是以亨利贞，取女吉也。天地感而万物化生，圣人感人心而天下和平。观其所感，而天地万物之情可见矣。
,,,,
,,,,
,,,,
,,,,
,,,,
32,恒卦 （巽下震上，雷风恒）,雷风，恒；君子以立不易方。,恒。亨，无咎，利贞。利有攸往。,恒，久也，刚上而柔下，雷风相与，巽而动，刚柔皆应，恒。恒，亨，无咎，利贞，久于其道也。天地之道，恒久而不已也，利有攸往，终则有始也。日月得天而能久照，四时变化而能久成，圣人久于其道，而天下化成。观其所恒，而天地万物之情可见矣。
,,,,
,,,,
,,,,
,,,,
,,,,
33,遁卦 （乾上艮下，天山遁）,天下有山，遁；君子以远小人，不恶而严（不怒自威）。,遁。亨，小利贞。,遁亨，遁而亨也。刚当位而应，与时行也。小利贞，浸而长也。遁之时义大矣哉！
,,,,
,,,,
,,,,
,,,,
,,,,
34,大壮卦 （乾下震上，雷天大壮）,雷在天上，大壮；君子以非礼弗履。,大壮。利贞。,大壮，大者壮也，刚以动，故壮；大壮利贞，大者正也。正大而天地之情可见矣。
,,,,
,,,,
,,,,
,,,,
,,,,
35,晋卦 （坤下离上，火地晋）,明出地上，晋；君子以自昭明德。,晋。康侯用锡（赏赐）马蕃庶（众多），昼日三接。,晋，进也。明出地上，顺而丽乎大明，柔进而上行，是以康候用锡马蕃庶，昼日三接也。
,,,,
,,,,
,,,,
,,,,
,,,,
36,明夷卦（离下坤上，地火明夷）,明入地中，明夷；君子以莅众，用晦而明。,明夷。利艰贞。,明入地中，明夷。内文明而外柔顺，以蒙大难，文王以之，利艰贞，晦其明也。内难而能正其志，箕子以之。
,,,,
,,,,
,,,,
,,,,
,,,,
37,家人卦（离下巽上，风火家人）,风自火出，家人；君子以言有物而行有恒。,家人。利女贞。,家人，女正位乎内，男正乎位乎外，男女正，天地之大义也。家人有严焉，父母之谓也。父父，子子，兄兄，弟弟，夫夫，妇妇，而家道正，正家而天下定矣。
,,,,
,,,,
,,,,
,,,,
,,,,
38,睽卦（兑下离上，火泽睽）,上火下泽，睽；君子以同而异。,睽。小事吉。,"睽，火动而上，泽动而下。
二女同居，其志不同行。
说而丽乎明，柔进而上行，得中而应乎刚，是以小事吉。天地睽而其事同也，男女睽而其志通也，万物睽而其事类也。睽之时用大矣哉！"
